glid,label,source
1713346,retained,feb_sale1_not_winback
5957111,retained,feb_sale1_not_winback
9149400,retained,feb_sale1_not_winback
10434535,retained,feb_sale1_not_winback
11282573,retained,feb_sale1_not_winback
11696431,retained,feb_sale1_not_winback
12195563,retained,feb_sale1_not_winback
15652992,retained,feb_sale1_not_winback
16221202,retained,feb_sale1_not_winback
16651194,retained,feb_sale1_not_winback
17073367,retained,feb_sale1_not_winback
17807229,retained,feb_sale1_not_winback
21999189,retained,feb_sale1_not_winback
26539129,retained,feb_sale1_not_winback
26743066,retained,feb_sale1_not_winback
28896236,retained,feb_sale1_not_winback
29104271,retained,feb_sale1_not_winback
31384728,retained,feb_sale1_not_winback
31962515,retained,feb_sale1_not_winback
35645115,retained,feb_sale1_not_winback
36764837,retained,feb_sale1_not_winback
37865871,retained,feb_sale1_not_winback
40186197,retained,feb_sale1_not_winback
40775954,retained,feb_sale1_not_winback
46789506,retained,feb_sale1_not_winback
47639418,retained,feb_sale1_not_winback
48341148,retained,feb_sale1_not_winback
48454436,retained,feb_sale1_not_winback
48458083,retained,feb_sale1_not_winback
49605395,retained,feb_sale1_not_winback
50538556,retained,feb_sale1_not_winback
52312363,retained,feb_sale1_not_winback
53856607,retained,feb_sale1_not_winback
57781601,retained,feb_sale1_not_winback
58628328,retained,feb_sale1_not_winback
60059339,retained,feb_sale1_not_winback
61595379,retained,feb_sale1_not_winback
66252743,retained,feb_sale1_not_winback
66781872,retained,feb_sale1_not_winback
67684526,retained,feb_sale1_not_winback
68587742,retained,feb_sale1_not_winback
68862274,retained,feb_sale1_not_winback
69319799,retained,feb_sale1_not_winback
73747657,retained,feb_sale1_not_winback
84739595,retained,feb_sale1_not_winback
89464333,retained,feb_sale1_not_winback
92471415,retained,feb_sale1_not_winback
96834120,retained,feb_sale1_not_winback
103105246,retained,feb_sale1_not_winback
105919025,retained,feb_sale1_not_winback
107968365,retained,feb_sale1_not_winback
108983094,retained,feb_sale1_not_winback
111377308,retained,feb_sale1_not_winback
126413444,retained,feb_sale1_not_winback
126591005,retained,feb_sale1_not_winback
128218591,retained,feb_sale1_not_winback
132777224,retained,feb_sale1_not_winback
134395808,retained,feb_sale1_not_winback
134666582,retained,feb_sale1_not_winback
137873878,retained,feb_sale1_not_winback
141482925,retained,feb_sale1_not_winback
142867714,retained,feb_sale1_not_winback
143522707,retained,feb_sale1_not_winback
