eto_lead_whatsapp_feedback_response_id,feedback_date,feedback_modref_id,feedback_modref_type,feedback_remarks,fk_buyer_glusr_usr_id,fk_eto_lead_whatsapp_template_id,fk_supplier_glusr_usr_id,im_whatsapp_msg_sent_date,response_flag
1,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
2,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
3,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
4,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
5,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
6,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
7,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
8,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
9,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
10,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
11,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
12,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
13,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
14,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
15,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
16,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
17,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
18,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
19,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346401.0,26/03/24 12:36,222.0
20,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
21,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
22,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
23,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
24,01/01/01 00:00,73428743.0,2.0,Satisfied,32324.0,11.0,,01/01/01 00:00,111.0
25,01/01/01 00:00,1000000005.0,2.0,,126112.0,11.0,,01/01/01 00:00,111.0
26,01/01/01 00:00,102894927785.0,2.0,,126532.0,1.0,122132.0,01/01/01 00:00,111.0
27,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346401.0,26/03/24 12:36,222.0
28,26/03/24 12:36,1089345676.0,2.0,,7349419.0,4563426.0,,26/03/24 12:36,222.0
29,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
30,26/03/24 12:36,1089345676.0,1.0,Satisfied,7349419.0,4563426.0,346456.0,26/03/24 12:36,222.0
31,01/01/01 00:00,9028296711.0,2.0,,123456.0,10001.0,,01/01/01 00:00,111.0
32,01/01/01 00:00,105328982113.0,1.0,,77795123.0,-11.0,,01/01/01 00:00,111.0
33,01/01/01 00:00,105328982113.0,1.0,,77795123.0,-11.0,,01/01/01 00:00,111.0
34,01/01/01 00:00,105328982113.0,1.0,,77795123.0,-11.0,,01/01/01 00:00,111.0
35,01/01/01 00:00,105384538413.0,1.0,,37026469.0,11.0,,01/01/01 00:00,111.0
